d_show,p_hand,p_1c,p_2c,p_2c_h,p_3c,p_3c_h,p_4c,p_4c_h,p_5c,p_5c_h,p_6c,p_6c_h,p_7c,p_7c_h,p_final_hand,d_final,d_hit,d_bust,p_initial,p_final,p_bust,p_win
7,"10,Q",10,Q,0,0,0,0,0,0,0,0,0,0,0,"10,Q",18,1,0,20,20,0,1
6,"8,3",8,3,1,5,1,7,0,,0,,0,,0,"8,3,5,7",17,0,0,11,23,1,0
3,"J,Q",J,Q,0,,0,,0,,0,,0,,0,"J,Q",20,1,0,20,20,0,0
Q,"2,7",2,7,1,6,1,9,0,,0,,0,,0,"2,7,6,9",13,0,0,9,24,1,0
J,"3,8",3,8,1,Q,0,,0,,0,,0,,0,"3,8,Q",26,1,1,11,21,0,1
J,"3,5",3,5,1,4,1,8,0,,0,,0,,0,"3,5,4,8",26,1,1,8,20,0,1
6,"Q,4",Q,4,0,,0,,0,,0,,0,,0,"Q,4",25,1,1,14,14,0,1
Q,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",20,0,0,19,19,0,0
Q,"A,Q",A,Q,0,,0,,0,,0,,0,,0,"A,Q",20,0,0,21,21,0,1
2,"7,5",7,5,0,,0,,0,,0,,0,,0,"7,5",25,1,1,12,12,0,1
10,"2,6",2,6,1,A,0,,0,,0,,0,,0,"2,6,A",17,0,0,8,19,0,1
A,"A,3",A,3,0,,0,,0,,0,,0,,0,"A,3",21,0,0,14,14,0,0
5,"3,K",3,K,0,,0,,0,,0,,0,,0,"3,K",22,1,1,13,13,0,1
Q,"Q,J",Q,J,0,,0,,0,,0,,0,,0,"Q,J",18,0,0,20,20,0,1
2,"9,4",9,4,0,,0,,0,,0,,0,,0,"9,4",21,1,0,13,13,0,0
A,"9,J",9,J,0,,0,,0,,0,,0,,0,"9,J",17,0,0,19,19,0,1
A,"5,10",5,10,1,J,0,,0,,0,,0,,0,"5,10,J",13,0,0,15,25,1,0
A,"5,5",5,5,1,8,1,J,0,,0,,0,,0,"5,5,8,J",13,0,0,10,28,1,0
A,"J,K",J,K,0,,0,,0,,0,,0,,0,"J,K",21,1,0,20,20,0,0
A,"3,3",3,3,1,10,0,,0,,0,,0,,0,"3,3,10",18,1,0,6,16,0,0
8,"2,7",2,7,1,4,0,,0,,0,,0,,0,"2,7,4",26,1,1,9,13,0,1
2,"7,A",7,A,0,,0,,0,,0,,0,,0,"7,A",17,1,0,18,18,0,1
7,"3,J",3,J,1,7,0,,0,,0,,0,,0,"3,J,7",17,0,0,13,20,0,1
6,"9,10",9,10,0,,0,,0,,0,,0,,0,"9,10",22,1,1,19,19,0,1
J,"3,10",3,10,0,,0,,0,,0,,0,,0,"3,10",20,0,0,13,13,0,0
3,"J,A",J,A,0,,0,,0,,0,,0,,0,"J,A",13,0,0,21,21,0,1
4,"9,10",9,10,0,,0,,0,,0,,0,,0,"9,10",17,1,0,19,19,0,1
9,"J,7",J,7,0,,0,,0,,0,,0,,0,"J,7",21,1,0,17,17,0,0
3,"10,7",10,7,1,7,0,,0,,0,,0,,0,"10,7,7",11,0,0,17,24,1,0
6,"8,6",8,6,1,9,0,,0,,0,,0,,0,"8,6,9",10,0,0,14,23,1,0
A,"8,A",8,A,0,,0,,0,,0,,0,,0,"8,A",23,1,1,19,19,0,1
A,"8,7",8,7,0,,0,,0,,0,,0,,0,"8,7",23,1,1,15,15,0,1
8,"Q,A",Q,A,0,,0,,0,,0,,0,,0,"Q,A",18,0,0,21,21,0,1
8,"K,4",K,4,0,,0,,0,,0,,0,,0,"K,4",23,1,1,14,14,0,1
5,"5,4",5,4,1,4,0,,0,,0,,0,,0,"5,4,4",22,1,1,9,13,0,1
Q,"5,6",5,6,1,4,0,,0,,0,,0,,0,"5,6,4",20,0,0,11,15,0,0
K,"Q,J",Q,J,0,,0,,0,,0,,0,,0,"Q,J",25,1,1,20,20,0,1
K,"2,6",2,6,0,,0,,0,,0,,0,,0,"2,6",21,0,0,8,8,0,0
10,"3,J",3,J,1,2,1,8,0,,0,,0,,0,"3,J,2,8",20,0,0,13,23,1,0
K,"8,8",8,8,0,,0,,0,,0,,0,,0,"8,8",21,0,0,16,16,0,0
4,"10,Q",10,Q,0,,0,,0,,0,,0,,0,"10,Q",19,1,0,20,20,0,1
6,"K,5",K,5,0,,0,,0,,0,,0,,0,"K,5",21,1,0,15,15,0,0
J,"K,5",K,5,0,,0,,0,,0,,0,,0,"K,5",21,1,0,15,15,0,0
K,"A,K",A,K,0,,0,,0,,0,,0,,0,"A,K",15,0,0,21,21,0,1
2,"K,8",K,8,0,,0,,0,,0,,0,,0,"K,8",22,1,1,18,18,0,1
2,"6,Q",6,Q,1,J,0,,0,,0,,0,,0,"6,Q,J",10,0,0,16,26,1,0
9,"7,8",7,8,0,,0,,0,,0,,0,,0,"7,8",26,1,1,15,15,0,1
4,"8,5",8,5,1,10,0,,0,,0,,0,,0,"8,5,10",9,0,0,13,23,1,0
K,"2,2",2,2,1,5,1,A,0,,0,,0,,0,"2,2,5,A",18,1,0,4,20,0,1
4,"7,7",7,7,1,J,0,,0,,0,,0,,0,"7,7,J",9,0,0,14,24,1,0
2,"K,10",K,10,0,,0,,0,,0,,0,,0,"K,10",17,1,0,20,20,0,1
5,"10,7",10,7,1,9,0,,0,,0,,0,,0,"10,7,9",15,0,0,17,26,1,0
5,"6,2",6,2,1,8,1,J,0,,0,,0,,0,"6,2,8,J",15,0,0,8,26,1,0
2,"2,K",2,K,1,6,0,,0,,0,,0,,0,"2,K,6",21,1,0,12,18,0,0
4,"6,7",6,7,1,2,1,K,0,,0,,0,,0,"6,7,2,K",14,0,0,13,25,1,0
J,"9,4",9,4,0,,0,,0,,0,,0,,0,"9,4",22,1,1,13,13,0,1
8,"6,J",6,J,1,A,0,,0,,0,,0,,0,"6,J,A",18,0,0,16,17,0,0
2,"5,8",5,8,1,7,0,,0,,0,,0,,0,"5,8,7",21,1,0,13,20,0,0
8,"5,5",5,5,1,A,0,,0,,0,,0,,0,"5,5,A",21,1,0,10,21,0,0
5,"10,4",10,4,1,2,0,,0,,0,,0,,0,"10,4,2",24,1,1,14,16,0,1
3,"10,A",10,A,0,,0,,0,,0,,0,,0,"10,A",8,0,0,21,21,0,1
8,"A,K",A,K,0,,0,,0,,0,,0,,0,"A,K",18,0,0,21,21,0,1
Q,"2,8",2,8,1,2,0,,0,,0,,0,,0,"2,8,2",25,1,1,10,12,0,1
9,"6,6",6,6,0,,0,,0,,0,,0,,0,"6,6",22,1,1,12,12,0,1
3,"2,3",2,3,1,A,1,6,1,A,1,3,1,4,0,"2,3,A,6,A,3,4",23,1,1,5,20,0,1
6,"6,Q",6,Q,1,Q,0,,0,,0,,0,,0,"6,Q,Q",11,0,0,16,26,1,0
J,"8,5",8,5,0,,0,,0,,0,,0,,0,"8,5",23,1,1,13,13,0,1
J,"5,5",5,5,1,A,0,,0,,0,,0,,0,"5,5,A",20,0,0,10,21,0,1
7,"8,J",8,J,0,,0,,0,,0,,0,,0,"8,J",19,1,0,18,18,0,0
7,"8,K",8,K,0,,0,,0,,0,,0,,0,"8,K",19,1,0,18,18,0,0
J,"6,2",6,2,1,K,0,,0,,0,,0,,0,"6,2,K",20,0,0,8,18,0,0
9,"J,J",J,J,0,,0,,0,,0,,0,,0,"J,J",17,0,0,20,20,0,1
Q,"8,2",8,2,1,5,1,6,0,,0,,0,,0,"8,2,5,6",17,0,0,10,21,0,1
3,"2,7",2,7,1,2,1,4,1,6,0,,0,,0,"2,7,2,4,6",25,1,1,9,21,0,1
10,"4,Q",4,Q,1,8,0,,0,,0,,0,,0,"4,Q,8",20,0,0,14,22,1,0
J,"6,Q",6,Q,1,J,0,,0,,0,,0,,0,"6,Q,J",18,0,0,16,26,1,0
8,"4,Q",4,Q,1,9,0,,0,,0,,0,,0,"4,Q,9",17,0,0,14,23,1,0
9,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",19,0,0,19,19,0,0
A,"8,3",8,3,1,A,0,,0,,0,,0,,0,"8,3,A",24,1,1,11,12,0,1
4,"10,8",10,8,0,,0,,0,,0,,0,,0,"10,8",19,1,0,18,18,0,0
Q,"A,Q",A,Q,0,,0,,0,,0,,0,,0,"A,Q",14,0,0,21,21,0,1
8,"J,J",J,J,0,,0,,0,,0,,0,,0,"J,J",18,0,0,20,20,0,1
9,"6,5",6,5,1,7,1,4,0,,0,,0,,0,"6,5,7,4",19,0,0,11,22,1,0
2,"K,7",K,7,0,,0,,0,,0,,0,,0,"K,7",17,1,0,17,17,0,0
Q,"10,Q",10,Q,0,,0,,0,,0,,0,,0,"10,Q",18,0,0,20,20,0,1
A,"10,K",10,K,0,,0,,0,,0,,0,,0,"10,K",19,0,0,20,20,0,1
2,"A,Q",A,Q,0,,0,,0,,0,,0,,0,"A,Q",12,0,0,21,21,0,1
8,"4,7",4,7,1,6,1,A,0,,0,,0,,0,"4,7,6,A",18,0,0,11,18,0,0
7,"8,3",8,3,1,J,0,,0,,0,,0,,0,"8,3,J",17,0,0,11,21,0,1
2,"8,7",8,7,0,,0,,0,,0,,0,,0,"8,7",23,1,1,15,15,0,1
8,"9,5",9,5,0,,0,,0,,0,,0,,0,"9,5",17,1,0,14,14,0,0
10,"3,9",3,9,1,Q,0,,0,,0,,0,,0,"3,9,Q",20,0,0,12,22,1,0
3,"5,2",5,2,1,8,0,,0,,0,,0,,0,"5,2,8",18,1,0,7,15,0,0
10,"Q,5",Q,5,0,,0,,0,,0,,0,,0,"Q,5",20,0,0,15,15,0,0
2,"9,8",9,8,0,,0,,0,,0,,0,,0,"9,8",19,1,0,17,17,0,0
9,"6,Q",6,Q,0,,0,,0,,0,,0,,0,"6,Q",22,1,1,16,16,0,1
A,"Q,6",Q,6,1,6,0,,0,,0,,0,,0,"Q,6,6",18,0,0,16,22,1,0
J,"10,Q",10,Q,0,,0,,0,,0,,0,,0,"10,Q",17,0,0,20,20,0,1
6,"9,5",9,5,1,Q,0,,0,,0,,0,,0,"9,5,Q",16,0,0,14,24,1,0
6,"7,A",7,A,0,,0,,0,,0,,0,,0,"7,A",20,1,0,18,18,0,0
K,"A,8",A,8,0,,0,,0,,0,,0,,0,"A,8",24,1,1,19,19,0,1
K,"6,Q",6,Q,0,,0,,0,,0,,0,,0,"6,Q",21,0,0,16,16,0,0
9,"8,3",8,3,1,2,0,,0,,0,,0,,0,"8,3,2",19,1,0,11,13,0,0
3,"6,K",6,K,1,7,0,,0,,0,,0,,0,"6,K,7",13,0,0,16,23,1,0
7,"2,6",2,6,1,Q,0,,0,,0,,0,,0,"2,6,Q",19,1,0,8,18,0,0
9,"7,8",7,8,1,J,0,,0,,0,,0,,0,"7,8,J",19,0,0,15,25,1,0
J,"6,7",6,7,0,,0,,0,,0,,0,,0,"6,7",18,0,0,13,13,0,0
6,"6,5",6,5,1,K,0,,0,,0,,0,,0,"6,5,K",18,1,0,11,21,0,1
10,"10,8",10,8,1,K,0,,0,,0,,0,,0,"10,8,K",12,0,0,18,28,1,0
8,"2,9",2,9,1,5,1,4,0,,0,,0,,0,"2,9,5,4",17,0,0,11,20,0,1
4,"3,6",3,6,1,3,0,,0,,0,,0,,0,"3,6,3",25,1,1,9,12,0,1
K,"7,Q",7,Q,0,,0,,0,,0,,0,,0,"7,Q",20,0,0,17,17,0,0
3,"10,3",10,3,1,3,0,,0,,0,,0,,0,"10,3,3",19,1,0,13,16,0,0
A,"4,5",4,5,1,2,1,10,0,,0,,0,,0,"4,5,2,10",20,0,0,9,21,0,1
K,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",17,0,0,19,19,0,1
2,"8,6",8,6,0,,0,,0,,0,,0,,0,"8,6",19,1,0,14,14,0,0
J,"6,10",6,10,1,J,0,,0,,0,,0,,0,"6,10,J",20,0,0,16,26,1,0
5,"6,6",6,6,0,,0,,0,,0,,0,,0,"6,6",26,1,1,12,12,0,1
8,"2,8",2,8,1,6,1,7,0,,0,,0,,0,"2,8,6,7",18,0,0,10,23,1,0
A,"7,8",7,8,1,9,0,,0,,0,,0,,0,"7,8,9",19,0,0,15,24,1,0
J,"5,8",5,8,1,K,0,,0,,0,,0,,0,"5,8,K",20,0,0,13,23,1,0
5,"5,J",5,J,0,,0,,0,,0,,0,,0,"5,J",24,1,1,15,15,0,1
A,"5,K",5,K,0,,0,,0,,0,,0,,0,"5,K",20,1,0,15,15,0,0
2,"5,8",5,8,1,Q,0,,0,,0,,0,,0,"5,8,Q",11,0,0,13,23,1,0
Q,"5,8",5,8,0,,0,,0,,0,,0,,0,"5,8",20,0,0,13,13,0,0
J,"K,J",K,J,0,,0,,0,,0,,0,,0,"K,J",20,0,0,20,20,0,0
J,"K,9",K,9,0,,0,,0,,0,,0,,0,"K,9",20,0,0,19,19,0,0
J,"A,K",A,K,0,,0,,0,,0,,0,,0,"A,K",20,0,0,21,21,0,1
3,"6,4",6,4,1,5,0,,0,,0,,0,,0,"6,4,5",20,1,0,10,15,0,0
8,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",18,0,0,19,19,0,1
10,"5,J",5,J,0,,0,,0,,0,,0,,0,"5,J",18,0,0,15,15,0,0
3,"8,5",8,5,0,,0,,0,,0,,0,,0,"8,5",21,1,0,13,13,0,0
