lr_er_combo,learningRate,explorationRate,playerHandValue,dealerUpCardValue,usableAce,standGamesWon,standTotalGames,standAvgWinRate,hitGamesWon,hitTotalGames,hitAvgWinRate,doubleDownGamesWon,doubleDownTotalGames,doubleDownAvgWinRate,splitGamesWon,splitTotalGames,splitAvgWinRate,joinKey,minBet_bet,minBet_standQvalue,minBet_hitQvalue,minBet_doubleDownQvalue,minBet_splitQvalue,midBet_bet,midBet_standQvalue,midBet_hitQvalue,midBet_doubleDownQvalue,midBet_splitQvalue,maxBet_bet,maxBet_standQvalue,maxBet_hitQvalue,maxBet_doubleDownQvalue,maxBet_splitQvalue
0.05_0.05,0.05,0.05,2,1,TRUE,0,0,0,0,0,0,0,0,0,222,538,0.413,0.05_0.05_2_1_True,10,-99999999,0,0,847799.771,50,-99999999,0,0,2027650.73,100,-99999999,0,0,592021.368
0.05_0.05,0.05,0.05,2,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_1_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,2,TRUE,0,0,0,0,0,0,0,0,0,406,848,0.479,0.05_0.05_2_2_True,10,-99999999,0,0,114692.878,50,-99999999,0,0,84321.377,100,-99999999,0,0,37108.593
0.05_0.05,0.05,0.05,2,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_2_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,3,TRUE,0,0,0,0,0,0,0,0,0,464,960,0.483,0.05_0.05_2_3_True,10,-99999999,0,0,55927.855,50,-99999999,0,0,14770.325,100,-99999999,0,0,24607.465
0.05_0.05,0.05,0.05,2,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_3_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,4,TRUE,0,0,0,0,0,0,0,0,0,424,816,0.52,0.05_0.05_2_4_True,10,-99999999,0,0,120723.836,50,-99999999,0,0,68703.651,100,-99999999,0,0,98366.736
0.05_0.05,0.05,0.05,2,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_4_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,5,TRUE,0,0,0,0,0,0,0,0,0,488,890,0.548,0.05_0.05_2_5_True,10,-99999999,0,0,164233.745,50,-99999999,0,0,33510.91,100,-99999999,0,0,22211.877
0.05_0.05,0.05,0.05,2,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_5_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,6,TRUE,0,0,0,0,0,0,0,0,0,445,832,0.535,0.05_0.05_2_6_True,10,-99999999,0,0,80091.037,50,-99999999,0,0,55933.995,100,-99999999,0,0,120777.954
0.05_0.05,0.05,0.05,2,6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_6_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,7,TRUE,0,0,0,0,0,0,0,0,0,446,924,0.483,0.05_0.05_2_7_True,10,-99999999,0,0,37106.704,50,-99999999,0,0,23380.96,100,-99999999,0,0,58876.398
0.05_0.05,0.05,0.05,2,7,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_7_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,8,TRUE,0,0,0,0,0,0,0,0,0,401,868,0.462,0.05_0.05_2_8_True,10,-99999999,0,0,68666.896,50,-99999999,0,0,93416.628,100,-99999999,0,0,33478.704
