lr_er_combo,learningRate,explorationRate,playerHandValue,dealerUpCardValue,usableAce,standGamesWon,standTotalGames,standAvgWinRate,hitGamesWon,hitTotalGames,hitAvgWinRate,doubleDownGamesWon,doubleDownTotalGames,doubleDownAvgWinRate,splitGamesWon,splitTotalGames,splitAvgWinRate,joinKey,minBet_bet,minBet_standQvalue,minBet_hitQvalue,minBet_doubleDownQvalue,minBet_splitQvalue,midBet_bet,midBet_standQvalue,midBet_hitQvalue,midBet_doubleDownQvalue,midBet_splitQvalue,maxBet_bet,maxBet_standQvalue,maxBet_hitQvalue,maxBet_doubleDownQvalue,maxBet_splitQvalue
0.05_0.05,0.05,0.05,2,1,True,0,0,0.0,0,0,0.0,0,0,0.0,226,538,0.42,0.05_0.05_2_1_True,10,-99999999.0,0.0,0.0,1095659.785,50,-99999999.0,0.0,0.0,1095657.125,100,-99999999.0,0.0,0.0,847806.474
0.05_0.05,0.05,0.05,2,1,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_1_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,2,True,0,0,0.0,0,0,0.0,0,0,0.0,454,948,0.479,0.05_0.05_2_2_True,10,-99999999.0,0.0,0.0,21101.79,50,-99999999.0,0.0,0.0,23392.607,100,-99999999.0,0.0,0.0,55970.535
0.05_0.05,0.05,0.05,2,2,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_2_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,3,True,0,0,0.0,0,0,0.0,0,0,0.0,426,886,0.481,0.05_0.05_2_3_True,10,-99999999.0,0.0,0.0,47958.925,50,-99999999.0,0.0,0.0,98333.673,100,-99999999.0,0.0,0.0,28711.597
0.05_0.05,0.05,0.05,2,3,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_3_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,4,True,0,0,0.0,0,0,0.0,0,0,0.0,437,848,0.515,0.05_0.05_2_4_True,10,-99999999.0,0.0,0.0,33486.652,50,-99999999.0,0.0,0.0,108958.113,100,-99999999.0,0.0,0.0,98338.403
0.05_0.05,0.05,0.05,2,4,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_4_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,5,True,0,0,0.0,0,0,0.0,0,0,0.0,463,920,0.503,0.05_0.05_2_5_True,10,-99999999.0,0.0,0.0,80090.546,50,-99999999.0,0.0,0.0,37108.628,100,-99999999.0,0.0,0.0,19041.507
0.05_0.05,0.05,0.05,2,5,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_5_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,6,True,0,0,0.0,0,0,0.0,0,0,0.0,450,850,0.529,0.05_0.05_2_6_True,10,-99999999.0,0.0,0.0,53134.372,50,-99999999.0,0.0,0.0,108946.123,100,-99999999.0,0.0,0.0,58941.518
0.05_0.05,0.05,0.05,2,6,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_6_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,7,True,0,0,0.0,0,0,0.0,0,0,0.0,397,846,0.469,0.05_0.05_2_7_True,10,-99999999.0,0.0,0.0,140811.384,50,-99999999.0,0.0,0.0,37096.625,100,-99999999.0,0.0,0.0,72260.551
0.05_0.05,0.05,0.05,2,7,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_7_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,8,True,0,0,0.0,0,0,0.0,0,0,0.0,424,906,0.468,0.05_0.05_2_8_True,10,-99999999.0,0.0,0.0,103504.854,50,-99999999.0,0.0,0.0,30239.978,100,-99999999.0,0.0,0.0,25884.187
0.05_0.05,0.05,0.05,2,8,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_8_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,9,True,0,0,0.0,0,0,0.0,0,0,0.0,383,944,0.406,0.05_0.05_2_9_True,10,-99999999.0,0.0,0.0,80087.715,50,-99999999.0,0.0,0.0,9271.871,100,-99999999.0,0.0,0.0,41083.292
0.05_0.05,0.05,0.05,2,9,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.05_0.05_2_9_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0
0.05_0.05,0.05,0.05,2,10,True,0,0,0.0,0,0,0.0,0,0,0.0,1283,3262,0.393,0.05_0.05_2_10_True,10,-99999999.0,0.0,0.0,-1.202,50,-99999999.0,0.0,0.0,3.969,100,-99999999.0,0.0,0.0,-24.385
