lr_er,lr_er_desc,handNumber,handResult,handsWonRunningTotal,avgHandsWonRunningTotal,handsInInterval,handsWonInInterval,avgHandsWonInInterval,handsInFirstFinalLargeInterval,handsWonInFirstFinalLargeInterval,avgHandsWonInFirstFinalLargeInterval,handsInFirstFinalIntervalFlag,firstLargeIntervalFlag,finalLargeIntervalFlagList
0.05_0.05,"lr: 0.05, er: 0.05",10000,0,3966,0.3966,10000,3966,0.3966,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",20000,1,8099,0.40495,10000,4133,0.4133,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",30000,0,12231,0.4077,10000,4132,0.4132,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",40000,1,16247,0.406175,10000,4016,0.4016,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",50000,0,20416,0.40832,10000,4169,0.4169,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",60000,1,24646,0.410767,10000,4230,0.423,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",70000,0,28881,0.412586,10000,4235,0.4235,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",80000,0,33030,0.412875,10000,4149,0.4149,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",90000,0,37195,0.413278,10000,4165,0.4165,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",100000,0,41316,0.41316,10000,4121,0.4121,100000.0,41316.0,0.41316,1,1,0
0.05_0.05,"lr: 0.05, er: 0.05",110000,0,45509,0.413718,10000,4193,0.4193,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",120000,1,49642,0.413683,10000,4133,0.4133,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",130000,0,53978,0.415215,10000,4336,0.4336,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",140000,1,58121,0.41515,10000,4143,0.4143,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",150000,1,62385,0.4159,10000,4264,0.4264,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",160000,1,66587,0.416169,10000,4202,0.4202,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",170000,1,70766,0.416271,10000,4179,0.4179,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",180000,0,74872,0.415956,10000,4106,0.4106,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",190000,1,79048,0.416042,10000,4176,0.4176,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",200000,0,83166,0.41583,10000,4118,0.4118,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",210000,0,87499,0.416662,10000,4333,0.4333,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",220000,1,91729,0.41695,10000,4230,0.423,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",230000,1,95963,0.41723,10000,4234,0.4234,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",240000,0,100217,0.417571,10000,4254,0.4254,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",250000,0,104361,0.417444,10000,4144,0.4144,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",260000,1,108510,0.417346,10000,4149,0.4149,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",270000,1,112777,0.417693,10000,4267,0.4267,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",280000,1,116922,0.417579,10000,4145,0.4145,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",290000,0,121140,0.417724,10000,4218,0.4218,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",300000,0,125379,0.41793,10000,4239,0.4239,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",310000,0,129628,0.418155,10000,4249,0.4249,,,,0,0,0
0.05_0.05,"lr: 0.05, er: 0.05",320000,0,133878,0.418369,10000,4250,0.425,,,,0,0,0
