learningRate,explorationRate,playerHandValue,dealerUpCardValue,usableAce,standGamesWon,standTotalGames,standAvgWinRate,hitGamesWon,hitTotalGames,hitAvgWinRate,doubleDownGamesWon,doubleDownTotalGames,doubleDownAvgWinRate,splitGamesWon,splitTotalGames,splitAvgWinRate,joinKey,minBet_bet,minBet_standQvalue,minBet_hitQvalue,minBet_doubleDownQvalue,minBet_splitQvalue,midBet_bet,midBet_standQvalue,midBet_hitQvalue,midBet_doubleDownQvalue,midBet_splitQvalue,maxBet_bet,maxBet_standQvalue,maxBet_hitQvalue,maxBet_doubleDownQvalue,maxBet_splitQvalue,joinKey_Q
0.1,0.3,2,1,True,0,0,0.0,0,0,0.0,0,0,0.0,206,576,0.3576388888888889,0.1_0.3_2_1_True,10,-99999999.0,0.0,0.0,8459.101,50,-99999999.0,0.0,0.0,2649.148,100,-99999999.0,0.0,0.0,2914.868,0.1_0.3_2_1_True
0.1,0.3,2,1,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1_0.3_2_1_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0,0.1_0.3_2_1_False
0.1,0.3,2,2,True,0,0,0.0,0,0,0.0,0,0,0.0,398,816,0.4877450980392157,0.1_0.3_2_2_True,10,-99999999.0,0.0,0.0,64.73,50,-99999999.0,0.0,0.0,72.677,100,-99999999.0,0.0,0.0,60.268,0.1_0.3_2_2_True
0.1,0.3,2,2,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1_0.3_2_2_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0,0.1_0.3_2_2_False
0.1,0.3,2,3,True,0,0,0.0,0,0,0.0,0,0,0.0,410,804,0.5099502487562189,0.1_0.3_2_3_True,10,-99999999.0,0.0,0.0,161.066,50,-99999999.0,0.0,0.0,41.784,100,-99999999.0,0.0,0.0,153.075,0.1_0.3_2_3_True
0.1,0.3,2,3,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1_0.3_2_3_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0,0.1_0.3_2_3_False
0.1,0.3,2,4,True,0,0,0.0,0,0,0.0,0,0,0.0,429,834,0.5143884892086331,0.1_0.3_2_4_True,10,-99999999.0,0.0,0.0,129.914,50,-99999999.0,0.0,0.0,39.28,100,-99999999.0,0.0,0.0,21.084,0.1_0.3_2_4_True
0.1,0.3,2,4,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1_0.3_2_4_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0,0.1_0.3_2_4_False
0.1,0.3,2,5,True,0,0,0.0,0,0,0.0,0,0,0.0,460,870,0.5287356321839081,0.1_0.3_2_5_True,10,-99999999.0,0.0,0.0,7.844,50,-99999999.0,0.0,0.0,65.105,100,-99999999.0,0.0,0.0,5.446,0.1_0.3_2_5_True
0.1,0.3,2,5,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1_0.3_2_5_False,10,-99999999.0,0.0,0.0,99999999.0,50,-99999999.0,0.0,0.0,99999999.0,100,-99999999.0,0.0,0.0,99999999.0,0.1_0.3_2_5_False
