lr_er,lr_er_desc,handNumber,handResult,handsWonRunningTotal,avgHandsWonRunningTotal
0.1_0.3,"lr: 0.1, er: 0.3",10000,1,3810,0.381
0.1_0.3,"lr: 0.1, er: 0.3",20000,1,7648,0.3824
0.1_0.3,"lr: 0.1, er: 0.3",30000,1,11589,0.3863
0.1_0.3,"lr: 0.1, er: 0.3",40000,0,15563,0.389075
0.1_0.3,"lr: 0.1, er: 0.3",50000,0,19385,0.3877
0.1_0.3,"lr: 0.1, er: 0.3",60000,0,23257,0.38761666666666666
0.1_0.3,"lr: 0.1, er: 0.3",70000,0,27129,0.3875571428571429
0.1_0.3,"lr: 0.1, er: 0.3",80000,0,31020,0.38775
0.1_0.3,"lr: 0.1, er: 0.3",90000,1,34888,0.38764444444444446
0.1_0.3,"lr: 0.1, er: 0.3",100000,0,38869,0.38869
0.1_0.3,"lr: 0.1, er: 0.3",110000,0,42850,0.38954545454545453
0.1_0.3,"lr: 0.1, er: 0.3",120000,1,46783,0.3898583333333333
0.1_0.3,"lr: 0.1, er: 0.3",130000,0,50684,0.38987692307692307
0.1_0.3,"lr: 0.1, er: 0.3",140000,1,54605,0.39003571428571426
0.1_0.3,"lr: 0.1, er: 0.3",150000,0,58617,0.39078
0.1_0.3,"lr: 0.1, er: 0.3",160000,0,62534,0.3908375
0.1_0.3,"lr: 0.1, er: 0.3",170000,1,66474,0.3910235294117647
0.1_0.3,"lr: 0.1, er: 0.3",180000,1,70423,0.3912388888888889
0.1_0.3,"lr: 0.1, er: 0.3",190000,0,74373,0.39143684210526314
0.1_0.3,"lr: 0.1, er: 0.3",200000,1,78376,0.39188
0.1_0.3,"lr: 0.1, er: 0.3",210000,0,82330,0.39204761904761903
0.1_0.3,"lr: 0.1, er: 0.3",220000,0,86369,0.3925863636363636
0.1_0.3,"lr: 0.1, er: 0.3",230000,0,90384,0.3929739130434783
0.1_0.3,"lr: 0.1, er: 0.3",240000,1,94384,0.39326666666666665
0.1_0.3,"lr: 0.1, er: 0.3",250000,0,98388,0.393552
0.1_0.3,"lr: 0.1, er: 0.3",260000,1,102475,0.39413461538461536
0.1_0.3,"lr: 0.1, er: 0.3",270000,0,106433,0.3941962962962963
0.1_0.3,"lr: 0.1, er: 0.3",280000,0,110520,0.39471428571428574
0.1_0.3,"lr: 0.1, er: 0.3",290000,0,114626,0.39526206896551724
0.1_0.3,"lr: 0.1, er: 0.3",300000,0,118661,0.39553666666666665
0.1_0.3,"lr: 0.1, er: 0.3",310000,1,122632,0.39558709677419357
0.1_0.3,"lr: 0.1, er: 0.3",320000,1,126562,0.39550625
0.1_0.3,"lr: 0.1, er: 0.3",330000,0,130533,0.39555454545454544
0.1_0.3,"lr: 0.1, er: 0.3",340000,0,134609,0.39590882352941176
0.1_0.3,"lr: 0.1, er: 0.3",350000,0,138608,0.3960228571428571
0.1_0.3,"lr: 0.1, er: 0.3",360000,1,142619,0.39616388888888887
0.1_0.3,"lr: 0.1, er: 0.3",370000,1,146712,0.39651891891891894
0.1_0.3,"lr: 0.1, er: 0.3",380000,1,150667,0.39649210526315787
0.1_0.3,"lr: 0.1, er: 0.3",390000,0,154734,0.3967538461538462
0.1_0.3,"lr: 0.1, er: 0.3",400000,0,158797,0.3969925
0.1_0.3,"lr: 0.1, er: 0.3",410000,1,162813,0.3971048780487805
0.1_0.3,"lr: 0.1, er: 0.3",420000,0,166876,0.3973238095238095
0.1_0.3,"lr: 0.1, er: 0.3",430000,1,170940,0.3975348837209302
0.1_0.3,"lr: 0.1, er: 0.3",440000,0,175041,0.39782045454545456
0.1_0.3,"lr: 0.1, er: 0.3",450000,0,179010,0.3978
0.1_0.3,"lr: 0.1, er: 0.3",460000,1,183100,0.39804347826086955
0.1_0.3,"lr: 0.1, er: 0.3",470000,1,187142,0.39817446808510637
0.1_0.3,"lr: 0.1, er: 0.3",480000,0,191286,0.3985125
0.1_0.3,"lr: 0.1, er: 0.3",490000,0,195266,0.3985020408163265
0.1_0.3,"lr: 0.1, er: 0.3",500000,1,199309,0.398618
0.1_0.3,"lr: 0.1, er: 0.3",510000,0,203359,0.39874313725490196
0.1_0.3,"lr: 0.1, er: 0.3",520000,0,207350,0.39875
0.1_0.3,"lr: 0.1, er: 0.3",530000,0,211486,0.3990301886792453
